company_name,company_price_intraday,company_symbol,company_symbol_link
Fortive Corporation,57.71,FTV,https://finance.yahoo.com/sector/ms_technology/quote/FTV?p=FTV
"Skyworks Solutions, Inc.",111.91,SWKS,https://finance.yahoo.com/sector/ms_technology/quote/SWKS?p=SWKS
"Citrix Systems, Inc.",149.94,CTXS,https://finance.yahoo.com/sector/ms_technology/quote/CTXS?p=CTXS
"Slack Technologies, Inc.",31.89,WORK,https://finance.yahoo.com/sector/ms_technology/quote/WORK?p=WORK
Marvell Technology Group Ltd.,26.61,MRVL,https://finance.yahoo.com/sector/ms_technology/quote/MRVL?p=MRVL
"Arista Networks, Inc.",226.38,ANET,https://finance.yahoo.com/sector/ms_technology/quote/ANET?p=ANET
"CrowdStrike Holdings, Inc.",78.52,CRWD,https://finance.yahoo.com/sector/ms_technology/quote/CRWD?p=CRWD
Corning Incorporated,21.03,GLW,https://finance.yahoo.com/sector/ms_technology/quote/GLW?p=GLW
"Akamai Technologies, Inc.",97.84,AKAM,https://finance.yahoo.com/sector/ms_technology/quote/AKAM?p=AKAM
Garmin Ltd.,80.35,GRMN,https://finance.yahoo.com/sector/ms_technology/quote/GRMN?p=GRMN
"Maxim Integrated Products, Inc.",55.10,MXIM,https://finance.yahoo.com/sector/ms_technology/quote/MXIM?p=MXIM
"SS&C Technologies Holdings, Inc.",56.82,SSNC,https://finance.yahoo.com/sector/ms_technology/quote/SSNC?p=SSNC
"Leidos Holdings, Inc.",101.98,LDOS,https://finance.yahoo.com/sector/ms_technology/quote/LDOS?p=LDOS
Coupa Software Incorporated,216.04,COUP,https://finance.yahoo.com/sector/ms_technology/quote/COUP?p=COUP
"Broadridge Financial Solutions, Inc.",119.86,BR,https://finance.yahoo.com/sector/ms_technology/quote/BR?p=BR
"Tyler Technologies, Inc.",338.20,TYL,https://finance.yahoo.com/sector/ms_technology/quote/TYL?p=TYL
GoDaddy Inc.,76.86,GDDY,https://finance.yahoo.com/sector/ms_technology/quote/GDDY?p=GDDY
NortonLifeLock Inc.,21.28,NLOK,https://finance.yahoo.com/sector/ms_technology/quote/NLOK?p=NLOK
Seagate Technology plc,49.56,STX,https://finance.yahoo.com/sector/ms_technology/quote/STX?p=STX
Western Digital Corporation,42.23,WDC,https://finance.yahoo.com/sector/ms_technology/quote/WDC?p=WDC
Hewlett Packard Enterprise Company,9.80,HPE,https://finance.yahoo.com/sector/ms_technology/quote/HPE?p=HPE
"EPAM Systems, Inc.",225.74,EPAM,https://finance.yahoo.com/sector/ms_technology/quote/EPAM?p=EPAM
Zebra Technologies Corporation,236.01,ZBRA,https://finance.yahoo.com/sector/ms_technology/quote/ZBRA?p=ZBRA
Ubiquiti Inc.,187.01,UI,https://finance.yahoo.com/sector/ms_technology/quote/UI?p=UI
"Qorvo, Inc.",103.84,QRVO,https://finance.yahoo.com/sector/ms_technology/quote/QRVO?p=QRVO
"Black Knight, Inc.",73.14,BKI,https://finance.yahoo.com/sector/ms_technology/quote/BKI?p=BKI
NICE Ltd.,177.01,NICE,https://finance.yahoo.com/sector/ms_technology/quote/NICE?p=NICE
Open Text Corporation,39.72,OTEX,https://finance.yahoo.com/sector/ms_technology/quote/OTEX?p=OTEX
Fair Isaac Corporation,364.93,FICO,https://finance.yahoo.com/sector/ms_technology/quote/FICO?p=FICO
"Teradyne, Inc.",63.33,TER,https://finance.yahoo.com/sector/ms_technology/quote/TER?p=TER
"Gartner, Inc.",117.00,IT,https://finance.yahoo.com/sector/ms_technology/quote/IT?p=IT
"Zscaler, Inc.",78.22,ZS,https://finance.yahoo.com/sector/ms_technology/quote/ZS?p=ZS
Cognex Corporation,57.11,CGNX,https://finance.yahoo.com/sector/ms_technology/quote/CGNX?p=CGNX
